Particle,Opponent,Frame,Killed
av.yrx,_joesz_,381,False
_joesz_,av.yrx,381,True
nando_xz_7,clara_tankian,389,False
clara_tankian,nando_xz_7,389,True
immiguelrodrigues,ph__meyee,399,True
ph__meyee,immiguelrodrigues,399,False
xxanthonnyxx,c.h_st,400,False
c.h_st,xxanthonnyxx,400,True
ii_martiins,eman___uel,416,False
eman___uel,ii_martiins,416,True
roulld,_tonysnt,418,True
_tonysnt,roulld,418,False
shinji__hikaro,t1ago.sx,421,False
t1ago.sx,shinji__hikaro,421,True
simaocalten,zeluiz07720,431,True
zeluiz07720,simaocalten,431,False
fernandes_quinho,__alisson.silva__,433,False
__alisson.silva__,fernandes_quinho,433,True
souzza__.07,_daniel_pereira11,434,True
_daniel_pereira11,souzza__.07,434,False
064_gb_sant0os,victor_p314,434,True
victor_p314,064_gb_sant0os,434,False
lykam_f2p,andre.swy_,436,False
andre.swy_,lykam_f2p,436,True
lykam_f2p,_daniel_pereira11,437,True
_daniel_pereira11,lykam_f2p,437,False
fernandes_quinho,miguel.vax_,446,True
miguel.vax_,fernandes_quinho,446,False
luisoliveira.18,ykamila_,449,True
ykamila_,luisoliveira.18,449,False
kauan_santo0s,bnzin.045,461,True
bnzin.045,kauan_santo0s,461,False
ramos_xz777,miguel.vax_,462,True
miguel.vax_,ramos_xz777,462,False
bnzin.045,victor_p314,465,True
victor_p314,bnzin.045,465,False
j_irallas,f.henriquetrz,467,False
f.henriquetrz,j_irallas,467,True
gabriel__.e,viitor.pereira_,469,False
viitor.pereira_,gabriel__.e,469,True
nandosilva.2,ii_martiins,478,False
ii_martiins,nandosilva.2,478,True
samuel_gs__,gabrielllllvr_.cruz,478,True
gabrielllllvr_.cruz,samuel_gs__,478,False
ceci._pv,jocaa_1911,480,False
jocaa_1911,ceci._pv,480,True
mudin_cleitin,_daniel_pereira11,483,False
_daniel_pereira11,mudin_cleitin,483,True
deivid.hfds,_uendersx7,487,False
_uendersx7,deivid.hfds,487,True
ph__meyee,luta_followers,497,True
luta_followers,ph__meyee,497,False
renatomr1998,chris.d.santos,498,True
chris.d.santos,renatomr1998,498,False
felipecastro.site,nanddahw,499,True
nanddahw,felipecastro.site,499,False
av.yrx,ykamila_,501,False
ykamila_,av.yrx,501,True
tretroverse,nando_xz_7,504,True
nando_xz_7,tretroverse,504,False
